Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
32	-9761.68	-9745.765	-15.91534	0.439347	0.0576764	0.0717952	0.207806	0.0272802	0.0339583	-0.822465	-2.85291	-2.63394	-0.748686	-0.18124	0.6443192	0.3614402	4.766236	1.275841	0.01493268	0.001390195	1.212131	0.8758298	0.101598	0.257738	0.268875	0.0338446	0.0542715	0.283673	0.0759186	0.0472687	0.0628241	0.382465	0.238132	0.316497	-2.57809	-3.05191	-2.76742	1.61697	0.964079
33	-9639.327	-9623.654	-15.67397	0.40022	0.0576764	0.0793056	0.206519	0.0297618	0.0409228	-0.915741	-2.85291	-2.53445	-0.661622	-0.27722	0.5442925	0.3280724	4.766236	1.252836	0.01164635	0.002007069	1.212131	0.8758298	0.0924208	0.234457	0.334917	0.0307874	0.0493693	0.258049	0.0759186	0.0437813	0.0694284	0.382465	0.220563	0.349768	-2.57809	-3.12855	-2.66746	1.61697	0.977302
34	-9602.015	-9588.796	-13.21884	0.40022	0.0576764	0.0793056	0.206223	0.0297192	0.0408642	-0.915741	-2.85291	-2.53445	-0.663053	-0.27722	0.6358367	0.2853238	2.91529	1.235609	0.01164635	0.002331205	0.8200153	0.8758298	0.0622693	0.157967	0.408837	0.163801	0.033263	0.173863	0.0759186	0.043147	0.0635357	0.382465	0.217367	0.320082	-2.57809	-3.14314	-2.75615	1.61697	1.06044
35	-9504.137	-9491.402	-12.73474	0.40022	0.0576764	0.0793056	0.215389	0.0310401	0.0426804	-0.915741	-2.85291	-2.53445	-0.619568	-0.2324	0.7237268	0.2772364	2.459583	1.193876	0.01198007	0.001624456	1.19388	0.6685404	0.0614018	0.155766	0.403141	0.161519	0.0467308	0.171441	0.0682937	0.043147	0.0597099	0.321744	0.203274	0.281304	-2.68394	-3.14314	-2.81826	1.54994	1.08653
36	-9393.486	-9378.122	-15.36439	0.387838	0.0576764	0.077361	0.208725	0.0310401	0.0416339	-0.947168	-2.85291	-2.55927	-0.619568	-0.2324	1.034811	0.2642075	2.001359	2.181124	0.01198007	0.001624456	1.992766	1.024005	0.0959815	0.243489	0.0670087	0.252481	0.0730481	0.267991	0.0629529	0.043147	0.0543594	0.274221	0.187947	0.236788	-2.76537	-3.14314	-2.91214	1.47155	1.08653
37	-9388.553	-9370.54	-18.01334	0.419939	0.0576764	0.077361	0.226001	0.0310401	0.0416339	-0.867646	-2.85291	-2.55927	-0.619568	-0.15475	1.054566	0.2424686	2.096121	2.037598	0.01032834	0.001978183	3.55802	1.494778	0.0924453	0.234519	0.0795419	0.243179	0.0921971	0.258118	0.0629529	0.043147	0.0512704	0.274221	0.187947	0.223332	-2.76537	-3.14314	-2.97064	1.47155	1.16873
38	-9373.93	-9353.548	-20.38141	0.408264	0.0637323	0.0807862	0.219718	0.0342993	0.0434773	-0.895842	-2.75306	-2.51595	-0.619568	-0.15475	1.220571	0.2227576	2.096121	3.195229	0.006539189	0.002613364	3.55802	2.139981	0.115529	0.16502	0.0809171	0.303901	0.115219	0.219414	0.0563827	0.043147	0.0464286	0.245601	0.187947	0.202242	-2.87559	-3.14314	-3.06984	1.47155	1.24619
39	-9342.073	-9323.973	-18.09913	0.337871	0.0637323	0.0807862	0.181421	0.0342214	0.0433785	-1.08509	-2.75306	-2.51595	-0.621842	-0.15475	1.439037	0.2264101	1.165022	2.5984	0.006539189	0.004059368	2.164915	2.916365	0.115698	0.165261	0.0810352	0.304345	0.113927	0.219734	0.0563827	0.0422769	0.0464286	0.245601	0.184157	0.202242	-2.87559	-3.16351	-3.06984	1.47155	1.30089
40	-9255.854	-9240.206	-15.64821	0.337871	0.0685537	0.0807862	0.181421	0.0368102	0.0433785	-1.08509	-2.68014	-2.51595	-0.621842	-0.158609	1.523291	0.193873	1.30795	1.324048	0.004159877	0.004951631	1.90545	2.438496	0.101732	0.145313	0.0712534	0.388318	0.100175	0.19321	0.0563827	0.0422769	0.0449694	0.22995	0.172421	0.183402	-2.87559	-3.16351	-3.10177	1.4057	1.30089
41	-9250.417	-9233.678	-16.73863	0.337871	0.0685537	0.076424	0.196616	0.0398932	0.0444731	-1.08509	-2.68014	-2.57146	-0.541413	-0.215714	1.786056	0.2061906	1.15057	1.155456	0.00395048	0.007405726	1.672678	3.616977	0.0985584	0.171973	0.0690308	0.376205	0.0970503	0.187183	0.0558529	0.0422769	0.0458262	0.227789	0.172421	0.186896	-2.88503	-3.16351	-3.0829	1.4057	1.34775
