Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extra[1]	extra[2]	extra[3]	extra[4]	extra[5]	extra[6]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
23	-12342.74	-12348.28	5.547798	0.228682	0.369225	0.0249744	0.0897985	1.95388	0.137872	0.213913	0.0104095	0.00341581	0.018562	0.223212	0.0338895	0.04936349	0.4772427	0.004589716	0.2167879	0.1283858	0.01413714	0.004518464	0.3887782	0.0763541	0.251653	0.0920941	0.226841	0.346884	0.00617383	0.0184617	0.448519	0.0269482	0.0890457	2.16333	0.129978	-3.99206	-0.801804	-3.61384	1.57345	0.00482746
24	-12320.88	-12326.69	5.813632	0.229772	0.372346	0.0279689	0.0897169	1.95388	0.141144	0.213913	0.0135305	0.00477463	0.0132243	0.223212	0.0292714	0.04536057	0.4262643	0.003761541	0.2167879	0.1283858	0.01413714	0.004518464	0.3887782	0.0763541	0.251653	0.0920941	0.226841	0.346884	0.00617383	0.0198238	0.448519	0.0289929	0.0956157	2.16333	0.139841	-3.92087	-0.801804	-3.5407	1.57345	0.0722404
25	-12155.48	-12161.51	6.023203	0.231379	0.317971	0.0295241	0.116357	1.74666	0.16309	0.213913	0.0135305	0.00477463	0.0219187	0.100576	0.0292714	0.04536057	0.3738536	0.003761541	0.2167879	0.1248279	0.01442408	0.008037116	0.3686359	0.0587572	0.193656	0.301333	0.174563	0.26694	0.00475099	0.0218327	0.380551	0.0309369	0.118048	2.05761	0.167273	-3.82434	-0.966135	-3.47581	1.68768	0.126408
26	-12049.49	-12055.36	5.865776	0.167205	0.307735	0.0272305	0.149749	1.653	0.145217	0.143563	0.0206172	0.00396716	0.0219187	0.100576	0.0194341	0.03662832	0.3667636	0.00764843	0.2167879	0.1037547	0.0141977	0.01046899	0.4255549	0.0482575	0.159051	0.247486	0.143369	0.397935	0.003902	0.0295525	0.358897	0.0290792	0.159788	1.94053	0.157229	-3.52159	-1.02472	-3.53773	1.68768	0.267021
27	-12030.24	-12036.11	5.877243	0.169181	0.312234	0.0260348	0.16102	1.65955	0.149196	0.143563	0.0251164	0.00396716	0.0219187	0.100576	0.0293744	0.03504563	0.3284404	0.00936569	0.1904856	0.1037547	0.0111759	0.01157693	0.4255549	0.0447965	0.147644	0.229736	0.0719822	0.498128	0.00771336	0.0320229	0.358897	0.0275846	0.173876	1.94872	0.149777	-3.4413	-1.02472	-3.5905	1.69189	0.344662
28	-11913.93	-11921.04	7.109157	0.167389	0.272375	0.0288798	0.146743	1.35082	0.161848	0.143563	0.0251164	0.00308061	0.0244015	0.0811934	0.0293744	0.03249754	0.246584	0.003442936	0.1904856	0.1037547	0.008635501	0.007927261	0.3918107	0.0391785	0.25454	0.200925	0.0629548	0.435657	0.00674601	0.0297825	0.309074	0.0322489	0.152927	1.58703	0.165592	-3.51383	-1.17418	-3.43427	1.63604	0.393431
29	-11798.13	-11806.06	7.926534	0.144714	0.217649	0.0285832	0.151958	1.06981	0.151404	0.119873	0.0251164	0.00319752	0.0244015	0.0811934	0.0210536	0.03146413	0.1883937	0.002825878	0.1904856	0.1010295	0.008635501	0.005038811	0.3918107	0.0391785	0.25454	0.200925	0.0629548	0.435657	0.00674601	0.0310519	0.240666	0.0317321	0.159445	1.23577	0.162938	-3.4721	-1.42434	-3.45043	1.63604	0.226433
30	-11733.04	-11741.74	8.698571	0.145046	0.202397	0.0261706	0.153663	0.962658	0.138301	0.119873	0.0251164	0.00236836	0.0244015	0.0523579	0.0160814	0.03019667	0.210386	0.001896034	0.1904856	0.06405289	0.00560725	0.005038811	0.3709365	0.0802632	0.156191	0.411625	0.128973	0.209128	0.0138202	0.0314669	0.2216	0.0297528	0.161576	1.13788	0.152775	-3.45882	-1.50688	-3.51483	1.63604	0.228494
31	-11636.01	-11645.82	9.808703	0.149529	0.171353	0.027122	0.176683	0.803253	0.145563	0.119873	0.0251164	0.00331979	0.0244015	0.0523579	0.0233435	0.02016321	0.1788745	0.001169235	0.179995	0.07783358	0.002663307	0.002920792	0.3160278	0.0854466	0.166278	0.295083	0.137302	0.222633	0.0932581	0.0370708	0.182795	0.0297528	0.190351	0.938618	0.152775	-3.29492	-1.69939	-3.51483	1.63604	0.320817
32	-11433.68	-11444.55	10.86524	0.152386	0.171353	0.0297572	0.19135	0.803253	0.158359	0.119873	0.0251164	0.00230208	0.0244015	0.0523579	0.0173819	0.01662894	0.1617979	0.002144479	0.08794657	0.04308416	0.002746826	0.002770072	0.2041353	0.0854466	0.166278	0.295083	0.137302	0.222633	0.0932581	0.0406415	0.182795	0.0343189	0.208686	0.938618	0.176221	-3.20297	-1.69939	-3.37206	1.63604	0.320817
33	-11345.02	-11356.74	11.72204	0.152386	0.171356	0.0301169	0.195967	0.829258	0.156693	0.119873	0.0251164	0.00266175	0.0232403	0.0523579	0.0108371	0.01570868	0.1560462	0.001780542	0.06571496	0.03033329	0.002046819	0.002019564	0.1942886	0.0854466	0.166278	0.295083	0.137302	0.222633	0.0932581	0.0406415	0.1828	0.0343189	0.215908	0.971125	0.182319	-3.20297	-1.69936	-3.37206	1.67006	0.241932
