Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
34	-11411.22	-11416.84	5.620478	0.362375	0.0833911	0.184174	0.0002120737	-0.792518	-2.26362	-1.46988	0.6054583	0.0005961099	0.2144295	0.002244827	0.01273808	0.002824753	0.500346	0.421459	0.0781957	0.452703	0.103974	0.229953
35	-11360.61	-11366.35	5.736455	0.364422	0.0741257	0.17782	0.0002120737	-0.78688	-2.38172	-1.50503	0.4815524	0.0007587877	0.2144295	0.002244827	0.01273808	0.002824753	0.500346	0.421459	0.0781957	0.455263	0.092392	0.22201
36	-11319.46	-11324.95	5.481641	0.406707	0.0710358	0.194558	0.0002120737	-0.677039	-2.42442	-1.41497	0.4815524	0.001049836	0.1709194	0.001734798	0.01273808	0.004293329	0.500346	0.421459	0.0781957	0.508119	0.0885296	0.242932
37	-11255.76	-11261.6	5.843124	0.439867	0.0672985	0.200501	0.0002120737	-0.598622	-2.47863	-1.38485	0.3422876	0.0009202495	0.1497084	0.001790494	0.01204322	0.004293329	0.500346	0.421459	0.0781957	0.549568	0.083858	0.250361
38	-11235	-11240.97	5.965055	0.434324	0.0639161	0.200501	0.0002120737	-0.611309	-2.53036	-1.38485	0.3422876	0.001027079	0.09980126	0.001790494	0.01186404	0.005081962	0.500346	0.421459	0.0781957	0.54264	0.07963	0.250361
39	-11173.92	-11180.41	6.490797	0.421475	0.0589375	0.200501	0.0002120737	-0.641354	-2.61174	-1.38485	0.2130263	0.001027079	0.09980126	0.001516684	0.01186404	0.004455893	0.500346	0.421459	0.0781957	0.526579	0.0734068	0.250361
40	-11161.99	-11168.28	6.295372	0.421475	0.0544319	0.199513	0.0002120737	-0.641354	-2.69156	-1.3898	0.2444612	0.001027079	0.09980126	0.001600901	0.01186404	0.004850767	0.398177	0.335399	0.266424	0.526579	0.0677748	0.249126
41	-11155.71	-11161.97	6.252651	0.421475	0.049942	0.208848	0.0002120737	-0.641354	-2.778	-1.34402	0.2444612	0.001027079	0.09980126	0.001660637	0.01102004	0.004850767	0.465439	0.0555908	0.47897	0.526579	0.0621625	0.260795
42	-11141.44	-11147.3	5.862136	0.442067	0.0408091	0.193341	0.0002120737	-0.59363	-2.98092	-1.42125	0.2444612	0.002151604	0.09980126	0.000870954	0.01102004	0.00762228	0.465439	0.0555908	0.47897	0.552319	0.0507463	0.241411
43	-11137.19	-11143.16	5.970595	0.430499	0.038135	0.179967	0.0002120737	-0.620158	-3.04906	-1.49302	0.2143612	0.002568624	0.09980126	0.0007474481	0.01102004	0.00762228	0.465439	0.0555908	0.47897	0.537859	0.0474037	0.224694
44	-11136.01	-11141.84	5.836156	0.454672	0.0334691	0.182753	0.0002120737	-0.565502	-3.18035	-1.47764	0.2197618	0.002885286	0.09980126	0.0007876516	0.01441542	0.004506979	0.465439	0.0555908	0.47897	0.568075	0.0415713	0.228176
45	-11135.29	-11141.68	6.385141	0.408206	0.0359899	0.177982	0.0002120737	-0.673359	-3.10728	-1.50412	0.2197618	0.001920247	0.09980126	0.0007192265	0.01441542	0.003599756	0.465439	0.0555908	0.47897	0.509993	0.0447223	0.222212
46	-11125.99	-11132.52	6.525189	0.40572	0.0317149	0.177982	0.0002120737	-0.679471	-3.23454	-1.50412	0.2197618	0.002562343	0.08520857	0.0007192265	0.01441542	0.002074	0.465439	0.0555908	0.47897	0.506885	0.0393785	0.222212
47	-11126.98	-11133.53	6.546376	0.40274	0.0351066	0.195761	0.0002120737	-0.686847	-3.13228	-1.4088	0.2197618	0.00320211	0.08488649	0.0008887873	0.01441542	0.001383964	0.465439	0.0555908	0.47897	0.50316	0.0436181	0.244437
48	-11126.72	-11133.11	6.3919	0.40274	0.0332667	0.186549	0.0002120737	-0.686847	-3.18645	-1.45706	0.2197618	0.002850947	0.08488649	0.001067578	0.01441542	0.001715908	0.465439	0.0555908	0.47897	0.50316	0.0413183	0.232921
49	-11126.93	-11133.61	6.682247	0.406025	0.0336618	0.165455	0.0002120737	-0.678719	-3.17457	-1.5772	0.2197618	0.002722145	0.08488649	0.0004532356	0.01690979	0.002250616	0.465439	0.0555908	0.47897	0.507267	0.0418122	0.206554
50	-11125.07	-11131.92	6.845994	0.406025	0.0324003	0.160922	0.0002120737	-0.678719	-3.21301	-1.60501	0.1998142	0.002722145	0.08488649	0.0004532356	0.01887735	0.001603349	0.200029	0.023891	0.77608	0.507267	0.0402352	0.200887
51	-11119.3	-11126.16	6.853139	0.406025	0.037103	0.181738	0.0002120737	-0.678719	-3.07664	-1.48321	0.1998142	0.002722145	0.07928166	0.0004532356	0.01887735	0.001858882	0.200029	0.023891	0.77608	0.507267	0.0461137	0.226907
