Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
56	-11631.22	-11627.11	-4.110317	0.0552838	0.0488068	0.52105	0.0006498885	-2.68396	-2.81015	-0.430013	2.470928	0.04749764	0.8906374	0.01624512	0.1558544	0.01047699	0.252362	0.260537	0.487101	0.0682924	0.0601962	0.650501
57	-11630.19	-11626.24	-3.952009	0.0608801	0.0472666	0.501241	0.0005742549	-2.58518	-2.84103	-0.468671	2.470928	0.04145492	0.8906374	0.01624512	0.1558544	0.01012799	0.252362	0.260537	0.487101	0.0753823	0.0583655	0.625833
58	-11628.56	-11624.88	-3.682252	0.0616573	0.0467576	0.504005	0.0005742549	-2.57238	-2.85199	-0.463166	2.470928	0.04145492	0.8906374	0.01611277	0.1558544	0.005905915	0.448699	0.192118	0.359184	0.0763538	0.0577292	0.629288
59	-11628.3	-11624.64	-3.664205	0.0612288	0.0442202	0.503457	2.661338e-05	-2.57043	-2.89603	-0.463166	2.470928	0.04088691	0.8906374	0.01992124	0.1521385	0.004603667	0.448699	0.192118	0.359184	0.0765027	0.055242	0.629288
60	-11629.49	-11626.17	-3.323294	0.0637872	0.0458923	0.507208	0.00129061	-2.5495	-2.88684	-0.458238	2.470928	0.03046542	0.8906374	0.01992124	0.1521385	0.003216964	0.632826	0.127953	0.239221	0.0781208	0.0557521	0.632397
61	-11627.16	-11623.71	-3.448011	0.0648218	0.0466647	0.500654	0.0004631551	-2.52014	-2.8516	-0.469622	2.470928	0.03046542	0.8906374	0.01992124	0.1470788	0.004669126	0.632826	0.127953	0.239221	0.0804483	0.057752	0.625238
62	-11626.69	-11623.02	-3.667558	0.0517623	0.0496664	0.507708	6.898604e-05	-2.73928	-2.78067	-0.45484	2.470928	0.03046542	0.8906374	0.01729307	0.1470788	0.00743194	0.343198	0.131464	0.525338	0.0646167	0.0619968	0.634549
63	-11626.93	-11623.58	-3.345495	0.0515851	0.0473656	0.501524	6.898604e-05	-2.74272	-2.82817	-0.467097	2.470928	0.03046542	0.843641	0.01729307	0.1435579	0.004619846	0.343198	0.131464	0.525338	0.0643951	0.0591208	0.626819
64	-11628.19	-11624.81	-3.383513	0.0501437	0.0533434	0.502117	0.0006616427	-2.783	-2.72034	-0.467097	2.470928	0.03046542	0.9124665	0.01593148	0.1435579	0.004633526	0.306359	0.210661	0.48298	0.0618526	0.0658521	0.626819
65	-11628.74	-11625.28	-3.459555	0.0506551	0.0533546	0.477012	0.0006728576	-2.77294	-2.72034	-0.518481	2.470928	0.03046542	0.8995638	0.01593148	0.1435579	0.006394768	0.306359	0.210661	0.48298	0.0624778	0.0658521	0.595424
